full_title,date
"Missing Foyle's War actress Honeysuckle Weeks found ""safe and well"", Sussex police confirm",2016
Brazil ex-President Lula to stand trial for obstruction of justice in case related to scandal at oil firm Petrobras,2016
"Sussex police searching for Foyle's War actress Honeysuckle Weeks, missing since Thursday",2016
"Maternity hospital bombed in Syria's Idlib with reports of casualties, Save the Children says",2016
"Reported sighting of 2 men near Colchester barracks not linked to attempted abduction at RAF Marham, police say",2016
Police probe possible sighting near Colchester barracks of men wanted over attempted abduction close to RAF Marham,2016
523 potential child victims identified and 77 people charged after Police Scotland investigate online sex abuse,2016
Democrat Hillary Clinton becomes the first woman in US history to accept a major party’s presidential nomination,2016
"Indonesia executes some of the 14 people on death row for drugs crimes, local media report",2016
French firm EDF approves multi-billion pound investment in UK's first nuclear plant in decades at Hinkley Point,2016
"Syrian jihadist group Jabhat al-Nusra announces split from al-Qaeda, in first recording by its leader",2016
"EDF board member quits ahead of vote on whether to approve Hinkley Point, saying project financially ""very risky""",2016
Michael Foster loses court bid to overturn Labour decision to guarantee Jeremy Corbyn place on leadership ballot,2016
"Germany's Chancellor Merkel ""firmly"" rejects calls to change refugee policy despite recent terror attacks",2016
Update: Supreme Court rules against Scotland's Named Person law for breaching rights to privacy &amp; family life,2016
"French prosecutors identify second man who attacked priest in Normandy church as Abdel Malik Petitjean, 19",2016
"Lloyds Banking Group to cut 3,000 jobs and close 200 branches in the UK",2016
Two men who killed French priest seen pledging allegiance to Islamic State group in video released by IS news agency,2016
"Charges dropped against last Baltimore police officers over death of US black detainee Freddie Gray, US media report",2016
"John Hinckley Jr, man who tried to assassinate Ronald Reagan, to be released next month after 35 years",2016
More than 40 people killed in reported IS double bombing of Kurd-run city of Qamishli in Syria - state TV,2016
UK economy grew 0.6% in the three month period ending one week after vote to leave EU,2016
French religious leaders demand greater security at places of worship after murder of elderly priest by jihadists,2016
"Pharmaceutical firm GlaxoSmithKline to invest £275m in UK, calling Britain ""attractive location"" despite Brexit vote",2016
Democrat Hillary Clinton becomes the first woman in US history to be nominated for president by any major party.,2016
"Adel Kermiche was on probation &amp; tagged at time of #SaintEtienneDuRouvray attack, Paris prosecutor says",2016
"Adel Kermiche named as one of the #SaintEtienneDuRouvray attackers, Paris prosecutor Francois Molins confirms",2016
"Person detained in connection to attack in #SaintEtienneDuRouvray in which priest died, reports say",2016
"#SaintEtienneDuRouvray attack done by IS ""soldiers"" acting on call to target ""crusader"" coalition - IS ""news agency""",2016
"#SaintEtienneDuRouvray a ""cowardly assassination"" by terrorists pledged to IS - @fhollande",2016
"Vatican condemns ""barbaric murder"" in #SaintEtienneduRouvray church attack, says @Pontifex shares ""pain and horror""",2016
#SaintEtienneduRouvray church attack investigation will be led by anti-terrorism prosecutors - interior ministry,2016
"#SaintEtienneduRouvray attack during morning mass, attackers  killed when came out of church - interior ministry",2016
Second hostage in critical condition after #SaintEtienneduRouvray attack which left priest dead - interior ministry,2016
Star Wars production firm admits two criminal charges after actor Harrison Ford broke leg on set at Pinewood studios,2016
"Priest was hostage killed in #SaintEtienneduRouvray church siege, police sources tell French media",2016
"At least one hostage killed at #SaintEtienneduRouvray church siege near Rouen, northern France - media reports",2016
"Two hostage-takers at church near Rouen shot dead, French media report",2016
"Two armed men take hostages at a church near Rouen in northern France, media reports say",2016
At least 8 dead in bomb blasts in #Mogadishu; militant group al-Shabab  says it carried out attacks,2016
"Big explosions heard near airport in Somali capital, Mogadishu, local media report",2016
Solar Impulse becomes first solar-powered aircraft to circle the globe after landing in Abu Dhabi.,2016
"At least 15 reported dead after knife attack at residential care centre near Japan's capital Tokyo, local media say",2016
"So-called Islamic State claims responsibility for bombing in Ansbach, Germany",2016
"Fatal shooting at club in Fort Myers, Florida ""not an act of terror"", police say",2016
"Ansbach bomber had video on phone pledging allegiance to so-called Islamic State, officials say",2016
"Jihadist videos found on mobile and laptop of Syrian bomber in Germany, officials say",2016
"Three people arrested following Fort Myers, Florida nightclub shooting",2016
"Arrested Afghan boy met Munich gunman before attack, knew he had a gun &amp; that he was interested in Breivik - police",2016
"Ansbach attacker was meant to be deported to Bulgaria, German interior ministry says",2016
"One person detained in connection with nightclub shooting in Fort Meyers, Florida",2016
"Two people dead and 14-16 injured in shooting at Club Blu, Fort Myers, Florida, police say",2016
US media reports 17 shot at Florida nightclub in Fort Myers with at least one dead,2016
"At least 9 killed in car bomb in Khalis, Iraq, one day after suicide bomb attack in Baghdad, claimed by IS",2016
Car bomb reported in Iraq outside town of Khalis north-east of Baghdad with casualties feared,2016
Suspected bomber who died in blast in Ansbach was failed Syrian asylum seeker - Bavarian interior minister,2016
"Local mayor quoted as saying ""explosive device"" behind blast in bar in Ansbach, southern Germany",2016
US Democratic Party chair to resign after leaked emails suggest party insiders tried to sabotage Sanders campaign,2016
Munich police arrest 16-year-old friend of the attacker who killed nine people in the city on Friday,2016
Full details of the IOC's ruling on Russia in #Rio2016 here:,2016
"""Whistle-blower"" Yulia Stepanova ruled out of competing in #RioOlympics as ""neutral athlete"" - IOC",2016
Russian Olympic Committee cannot enter any athlete who has previously been sanctioned for doping - IOC #RioOlympics,2016
"Russia escapes blanket ban from next month's Rio Olympics, International Olympic Committee rules",2016
"Gunman thought to have used fake Facebook profile to lure victims to McDonald's, authorities say #Munich",2016
"Gunman behind #Munich attack had visited site of school shooting in Winnenden and taken photographs, authorities say",2016
"Number injured in #Munich attack has risen to 35, German authorities say",2016
"Munich gunman who killed nine people on Friday had been planning his attack for a year, police say",2016
Turkey detains nephew of US-based cleric Fethullah Gulen after coup attempt - state media,2016
"Death toll in Kabul attack claimed by IS rises further, with at least 80 killed and 231 wounded",2016
"Coach that crashed in France - seriously injuring 2 - was carrying pupils from school in Cheltenham, it has emerged",2016
#Munich shooting suspect has been named locally as David Sonboly,2016
"Death toll in Kabul attack doubles to at least 61, with more than 200 injured, Afghan health ministry says",2016
"""We are in profound mourning"" - Angela Merkel on the #Munich shooting",2016
Islamic State group says it carried out the deadly attack in the Afghanistan capital Kabul,2016
"29 dead &amp; hundreds injured after explosion hits protest march in Kabul, Afghanistan",2016
"Thirteen people injured after bus carrying teenagers from Wales crashed in eastern France, local media reports say",2016
"""Obvious link"" between #Munich gunman and Norway's mass killer Anders Behring Breivik, German police say",2016
Casualties feared after at least one blast hits protest in Afghan capital Kabul,2016
Munich gunman was obsessed with mass shootings and had no known links to Islamic State group - German police,2016
#Munich Shooting: Bavaria police chief says gunman had no apparent ties to Islamic State,2016
Turkey extends detention period to maximum 30 days for those held in connection with last week's failed coup,2016
"California Governor Jerry Brown denies parole for Leslie Van Houten, former follower of Charles Manson",2016
"Munich gunman suspected to be 18-year-old of Iranian origin resident in the city, police say",2016
US Democratic presidential candidate Hillary Clinton picks Virginia Senator Tim Kaine as her running mate,2016
"Munich shootings which left nine dead carried out by one gunman who then killed himself, police say",2016
"At least 10 people are injured, as well as nine dead, after #Munich attack, police confirm",2016
"Germany's Foreign Minister Steinmeier says motive for #Munich attack not clear: ""We still have contradictory clues""",2016
Ninth person reported dead in #Munich - police investigating whether this person was involved in attack Latest:,2016
"Death toll in #Munich shootings rises to eight, police confirm Latest updates:",2016
Six people confirmed dead in #Munich shootings  Follow latest developments:,2016
"Munich shootings being treated as ""suspected terrorism"", police say",2016
Munich residents use #OffeneTür to offer shelter; several attackers still on run - police,2016
"Three people with firearms, eyewitnesses tell @PolizeiMuenchen,  who appeal for #Munich public to seek shelter",2016
Unverified footage appears to show moment shots fired in #Munich - Latest developments:,2016
"""Do not support perpetrators"" - @PolizeiMuenchen ask public not to post photos/video of #Munich operations. Latest:",2016
"Avoid public places, situation still unclear - @PolizeiMuenchen advice following #Munich shooting at #OEZ - latest:",2016
#OEZ shooting in #Munich: What we know so far. Continuing coverage of latest developments,2016
"""Several deaths"" in #Munich #OEZ shopping centre shooting - police tell German media",2016
The scene in #Munich after reports of shots fired at #OEZ,2016
"Area around Munich shopping centre closed off after shots fired, no further details - police",2016
"Shots fired in Munich shopping centre, major police operation under way - German media",2016
"IMF head Christine Lagarde to stand trial over payout to French tycoon, appeals court rules",2016
"Indian military plane with more than 20 people on board missing over Bay of Bengal, Indian air force says",2016
"China, Malaysia and Australia will suspend and not end search for missing #MH370 plane",2016
Businessman Donald Trump formally accepts the Republican presidential nomination at party’s convention in Cleveland,2016
Embattled CEO of Fox News Roger Ailes resigns following sexual harassment allegations,2016
"Brazilian police arrest several people suspected of planning terrorist attacks during Olympics, reports say",2016
"Police treating incident at RAF Marham, Norfolk, on Wednesday involving serviceman as attempted abduction",2016
"""This party is capable of winning a general election"" - @jeremycorbyn #LabourLeadership bid",2016
"""I want to confront injustices holding people back"" - @jeremycorbyn",2016
Texas Senator Ted Cruz is booed as he fails to endorse Donald Trump as Republican Party nominee for US president,2016
"""All of the viruses within the armed forces will be cleansed"" - Turkey's President Erdogan",2016
"Turkey's Erdogan declares 3 month state of emergency to ""remove threat... to democracy""",2016
Turkey's president declares state of emergency for three months following failed coup,2016
"Sunderland boss Sam Allardyce to be appointed new England football manager within 24 hours, BBC Sport understands",2016
"Trump staffer Meredith McIver admits role in writing Melania Trump's speech, says offer to resign was rejected",2016
"Police say Brussels security alert was false alarm, with suspect said to be a student",2016
"""Police told me they had him under control"" - @GavinLeeBBC on Brussels 'bomb alert' Latest:",2016
"Senior HSBC manager arrested in New York amid probe into foreign-exchange rigging, reports say",2016
"Police in Brussels surround man wearing ""long coat and wires"", spokesman tells Belgian media",2016
"Soldier serving in the Rifles regiment has died while on training exercise in Brecon area of south Wales, MoD says",2016
"Three French soldiers killed in Libya, defence ministry confirms",2016
"Unemployment fell by 54,000 to 1.65 million between March and May, the Office for National Statistics says",2016
"UK to give up its next six-month Council of EU presidency, PM Theresa May tells European Council chief Donald Tusk",2016
"Three people have died following a disturbance at a flat in Aberdeen, Police Scotland have said",2016
Donald Trump becomes Republican presidential candidate after securing majority of National Convention delegates,2016
